Date,Open,High,Low,Close,Adj Close,Volume,returns
2013-06-21,159.639999,159.759995,157.470001,159.070007,133.403168,271956800,0.3209736191508661
2013-06-24,157.410004,158.429993,155.729996,157.059998,131.717468,222329000,-1.2636131699660935
2013-06-25,158.479996,160.100006,157.419998,158.570007,132.983871,162262200,0.9614541026555345
2013-06-26,159.869995,160.5,159.25,160.139999,134.300568,134848000,0.9901178166185298
2013-06-27,161.100006,161.820007,160.949997,161.080002,135.088821,129483700,0.5869319927224614
2013-06-28,160.630005,161.399994,159.860001,160.419998,134.535339,160402900,-0.40971710012925877
2013-07-01,161.259995,162.479996,161.080002,161.360001,135.323715,131954800,0.5859991923757635
2013-07-02,161.119995,162.300003,160.5,161.210007,135.197845,154863700,-0.09301399980039537
2013-07-03,160.479996,161.770004,160.220001,161.279999,135.256577,75216400,0.043441520831932756
2013-07-05,162.470001,163.080002,161.300003,163.020004,136.715805,122416900,1.0788591818348348
2013-07-08,163.860001,164.389999,163.080002,163.949997,137.495773,108092500,0.5705031689642759
2013-07-09,164.979996,165.330002,164.270004,165.130005,138.485382,119298000,0.7197377624110546
2013-07-10,164.970001,165.75,164.630005,165.190002,138.535675,121410100,0.03631646840531744
2013-07-11,167.110001,167.610001,165.179993,167.440002,140.422638,135592200,1.3620773132985375
2013-07-12,167.389999,167.929993,167.130005,167.509995,140.481354,104212700,0.041813770796705896
2013-07-15,167.970001,168.389999,167.679993,168.149994,141.018051,69450600,0.382041448717807
2013-07-16,168.259995,168.360001,167.070007,167.520004,140.489731,88702100,-0.37464707266448016
2013-07-17,168.160004,168.479996,167.729996,167.949997,140.850357,92873900,0.25669207096710167
2013-07-18,168.309998,169.270004,168.199997,168.869995,141.621918,103620100,0.5477877489511673
2013-07-19,168.520004,169.229996,168.309998,169.169998,141.873489,103831700,0.17763563970374374
2013-07-22,169.410004,169.740005,169.009995,169.5,142.150269,79428600,0.19508930241365352
2013-07-23,169.800003,169.830002,169.050003,169.139999,141.848328,80829700,-0.21240972818700188
2013-07-24,169.789993,169.860001,168.179993,168.520004,141.328354,112914000,-0.36657041174289473
2013-07-25,168.220001,169.080002,167.940002,168.929993,141.672195,111088600,0.24329229787816153
2013-07-26,168.220001,169.160004,167.520004,169.110001,141.823151,107814600,0.10655301839574971
2013-07-29,168.679993,169.059998,168.110001,168.589996,141.3871,79695000,-0.3074610858138316
2013-07-30,169.100006,169.279999,168.190002,168.589996,141.3871,85209600,0.0001
2013-07-31,168.940002,169.850006,168.490005,168.710007,141.487717,142388700,0.07116420097732501
2013-08-01,169.990005,170.809998,169.899994,170.660004,143.123062,110438400,1.1558211798696316
